about,про
court,суд
cover,покривати
create,створювати
crime,злочин
cultural,культурний
culture,культура
cup,чашка
current,поточний
customer,клієнт
cut,різати
dark,темний
data,дані
date,дата
daughter,дочка
day,день
dead,мертвий
deal,угода
death,смерть
debate,дебати
decade,десятиліття
decide,вирішувати
decision,рішення
deep,глибокий
defense,захист
degree,ступінь
democratic,демократичний
describe,описувати
design,дизайн
despite,незважаючи на
detail,деталь
determine,визначати
develop,розвивати
development,розвиток
die,помирати
difference,різниця
different,різний
difficult,важкий
dinner,вечеря
direction,напрямок
director,директор
discover,відкривати
discuss,обговорювати
discussion,обговорення
disease,хвороба
do,робити
doctor,лікар
dog,собака
door,двері
down,вниз
draw,малювати
dream,мрія
drive,водити
drop,крапля
drug,ліки
during,протягом
each,кожен
early,рано
east,схід
easy,легкий
eat,їсти
economic,економічний
economy,економіка
edge,край
education,освіта
effect,ефект
effort,зусилля
eight,вісім
either,або
election,вибори
else,інше
employee,працівник
end,кінець
energy,енергія
enjoy,насолоджуватися
enough,достатньо
enter,входити
entire,весь
environment,середовище
environmental,екологічний
especially,особливо
establish,встановлювати
even,навіть
evening,вечір
event,подія
ever,коли-небудь
every,кожен
everyone,кожен
everything,все
evidence,доказ
exactly,точно
example,приклад
executive,виконавчий
exist,існувати
expect,очікувати
experience,досвід
expert,експерт
explain,пояснювати
eye,око
face,обличчя
fact,факт
factor,фактор
fail,терпіти невдачу
fall,падати
family,сім'я
far,далеко
fast,швидкий
father,батько
fear,страх
federal,федеральний
feel,відчувати
feeling,почуття
few,кілька
field,поле
fifteen,п'ятнадцять
fifty,п'ятдесят
fight,боротися
figure,фігура
fill,заповнювати
film,фільм
final,фінальний
finally,нарешті
financial,фінансовий
find,знаходити
fine,добре
finger,палець
finish,закінчувати
fire,вогонь
firm,фірма
first,перший
fish,риба
five,п'ять
floor,підлога
fly,літати
focus,фокус
follow,слідувати
food,їжа
foot,нога
for,для
force,сила
foreign,іноземний
forget,забувати
form,форма
former,колишній
forward,вперед
four,чотири
free,вільний
friend,друг
from,від
front,перед
full,повний
fund,фонд
future,майбутнє
game,гра
garden,сад
gas,газ
general,загальний
generation,покоління
get,отримувати
girl,дівчина
give,давати
glass,скло
go,йти
goal,мета
god,бог
good,хороший
government,уряд
great,великий
green,зелений
ground,земля
group,група
grow,рости
growth,ріст
guess,здогадуватися
gun,рушниця
guy,хлопець
hair,волосся
half,половина
hand,рука
hang,висіти
happen,відбуватися
happy,щасливий
hard,важкий
have,мати
he,він
head,голова
health,здоров'я
hear,чути
heart,серце
heat,тепло
heavy,важкий
help,допомога
her,її
here,тут
herself,сама
high,високий
him,його
himself,сам
his,його
history,історія
hit,бити
hold,тримати
home,дім
hope,надія
hospital,лікарня
hot,гарячий
hotel,готель
hour,година
house,будинок
how,як
however,однак
huge,величезний
human,людина
hundred,сто
husband,чоловік
idea,ідея
identify,ідентифікувати
if,якщо
image,зображення
imagine,уявляти
impact,вплив
important,важливий
improve,покращувати
in,в
include,включати
including,включаючи
increase,збільшувати
indeed,справді
indicate,вказувати
individual,індивідуальний
industry,промисловість
information,інформація
inside,всередині
instead,замість
institution,установа
interest,інтерес
interesting,цікавий
international,міжнародний
interview,інтерв'ю
into,в
investment,інвестиції
involve,залучати
issue,проблема
it,це
item,предмет
its,його
itself,само
job,робота
join,приєднуватися
just,просто
keep,тримати
key,ключ
kid,дитина
kill,вбивати
kind,добрий
kitchen,кухня
know,знати
knowledge,знання
land,земля
language,мова
large,великий
last,останній
late,пізно
later,пізніше
laugh,сміятися
law,закон
lawyer,адвокат
lay,лежати
lead,вести
leader,лідер
learn,вчитися
least,найменше
leave,залишати
left,лівий
leg,нога
legal,легальний
less,менше
let,дозволити
letter,лист
level,рівень
lie,брехати
life,життя
light,світло
like,подобатися
line,лінія
list,список
listen,слухати
little,маленький
live,жити
local,місцевий
long,довгий
look,дивитися
lose,втрачати
loss,втрата
lot,багато
love,любов
low,низький
machine,машина
magazine,журнал
main,головний
maintain,підтримувати
major,головний
make,робити
man,чоловік
manage,управляти
management,управління
manager,менеджер
many,багато
market,ринок
marriage,шлюб
material,матеріал
matter,справа
may,може
maybe,можливо
me,мене
mean,означати
measure,міра
media,медіа
medical,медичний
meet,зустрічати
meeting,зустріч
member,член
memory,пам'ять
mention,згадувати
message,повідомлення
method,метод
middle,середній
might,міг би
military,військовий
million,мільйон
mind,розум
minute,хвилина
miss,сумувати
mission,місія
model,модель
modern,сучасний
moment,момент
money,гроші
month,місяць
more,більше
morning,ранок
most,більшість
mother,мати
move,рухатися
movement,рух
movie,фільм
much,багато
music,музика
must,повинен
my,мій
myself,я сам
name,ім'я
nation,нація
national,національний
natural,природний
nature,природа
near,біля
nearly,майже
necessary,необхідний
need,потребувати
network,мережа
never,ніколи
new,новий
news,новини
newspaper,газета
next,наступний
nice,гарний
night,ніч
nine,дев'ять
no,ні
none,ніхто
nor,ні
north,північ
not,не
note,нотатка
nothing,нічого
notice,помічати
now,зараз
number,число
occur,відбуватися
of,з
off,вимкнено
offer,пропонувати
office,офіс
officer,офіцер
official,офіційний
often,часто
oh,о
oil,олія
ok,добре
old,старий
on,на
once,одного разу
one,один
only,тільки
onto,на
open,відкривати
operation,операція
opportunity,можливість
option,варіант
or,або
order,порядок
organization,організація
other,інший
others,інші
our,наш
out,поза
outside,зовні
over,над
own,власний
owner,власник
page,сторінка
pain,біль
painting,живопис
paper,папір
parent,батько
part,частина
participant,учасник
particular,особливий
particularly,особливо
partner,партнер
party,партія
pass,проходити
past,минулий
patient,пацієнт
pattern,шаблон
pay,платити
peace,мир
people,люди
per,за
perform,виконувати
performance,вистава
perhaps,можливо
period,період
person,особа
personal,особистий
phone,телефон
physical,фізичний
pick,вибирати
picture,картина
piece,шматок
place,місце
plan,план
plant,рослина
play,грати
player,гравець
please,будь ласка
pleasure,задоволення
point,точка
police,поліція
policy,політика
political,політичний
politics,політика
poor,бідний
popular,популярний
population,населення
position,позиція
positive,позитивний
possible,можливий
power,сила
practice,практика
prepare,готувати
present,подарунок
president,президент
pressure,тиск
pretty,гарний
prevent,запобігати
price,ціна
private,приватний
probably,імовірно
problem,проблема
process,процес
produce,виробляти
product,продукт
production,виробництво
professional,професійний
professor,професор
program,програма
project,проект
property,власність
protect,захищати
prove,доводити
provide,надавати
public,громадський
pull,тягнути
purpose,мета
push,штовхати
put,класти
quality,якість
question,питання
quickly,швидко
quite,досить
race,гонка
radio,радіо
raise,піднімати
range,діапазон
rate,ставка
rather,скоріше
reach,досягати
read,читати
ready,готовий
real,справжній
reality,реальність
realize,усвідомлювати
really,справді
reason,причина
receive,отримувати
recent,недавній
recently,нещодавно
recognize,визнавати
record,запис
red,червоний
reduce,зменшувати
reflect,відображати
region,регіон
relate,ставитися
relationship,відносини
religious,релігійний
remain,залишатися
remember,пам'ятати
remove,видаляти
report,звіт
represent,представляти
republican,республіканський
require,вимагати
research,дослідження
resource,ресурс
respond,відповідати
response,відповідь
responsibility,відповідальність
rest,відпочинок
result,результат
return,повертатися
reveal,розкривати
rich,багатий
right,правий
rise,підйом
risk,ризик
road,дорога
rock,камінь
role,роль
room,кімната
rule,правило
run,бігти
safe,безпечний
same,той самий
save,зберігати
say,сказати
scene,сцена
school,школа
science,наука
scientist,вчений
score,рахунок
sea,море
season,сезон
seat,місце
second,другий
section,секція
security,безпека
see,бачити
seek,шукати
seem,здаватися
sell,продавати
send,відправляти
senior,старший
sense,почуття
series,серія
serious,серйозний
serve,служити
service,послуга
set,встановлювати
seven,сім
several,кілька
sex,стать
sexual,сексуальний
shake,трясти
share,ділитися
she,вона
shoot,стріляти
short,короткий
shot,постріл
should,повинен
show,показувати
side,сторона
significant,значний
similar,подібний
simple,простий
simply,просто
since,з тих пір
sing,співати
single,одинокий
sister,сестра
sit,сидіти
site,сайт
situation,ситуація
six,шість
size,розмір
skill,навичка
skin,шкіра
small,маленький
smile,посмішка
so,так
social,соціальний
society,суспільство
soldier,солдат
some,деякий
somebody,хтось
someone,хтось
something,щось
sometimes,іноді
son,син
song,пісня
soon,скоро
sort,сортувати
sound,звук
source,джерело
south,південь
southern,південний
space,простір
speak,говорити
special,спеціальний
specific,конкретний
speech,мова
spend,витрачати
sport,спорт
spring,весна
staff,персонал
stage,етап
stand,стояти
standard,стандарт
star,зірка
start,початок
state,держава
statement,заява
station,станція
stay,залишатися
step,крок
still,все ще
stock,запас
stop,зупиняти
store,магазин
story,історія
strategy,стратегія
street,вулиця
strong,сильний
structure,структура
student,студент
study,вивчати
stuff,речі
style,стиль
subject,предмет
success,успіх
successful,успішний
such,такий
suddenly,раптом
suffer,страждати
suggest,пропонувати
summer,літо
support,підтримка
sure,впевнений
surface,поверхня
system,система
table,стіл
take,брати
talk,розмовляти
task,завдання
tax,податок
teach,вчити
teacher,вчитель
team,команда
technology,технологія
television,телебачення
tell,сказати
ten,десять
tend,мати тенденцію
term,термін
test,тест
than,ніж
thank,дякувати
that,що
the,той
their,їхній
them,них
themselves,самі
then,тоді
theory,теорія
there,там
these,ці
they,вони
thing,річ
think,думати
third,третій
this,це
those,ті
though,хоча
thought,думка
thousand,тисяча
threat,загроза
three,три
through,через
throughout,протягом
throw,кидати
thus,таким чином
time,час
to,до
today,сьогодні
together,разом
tonight,сьогодні ввечері
too,також
top,верх
total,загальний
tough,важкий
toward,назустріч
town,місто
trade,торгівля
traditional,традиційний
training,навчання
travel,подорож
treat,лікувати
treatment,лікування
tree,дерево
trial,суд
trip,поїздка
trouble,проблема
true,правда
truth,істина
try,намагатися
turn,повертати
tv,телебачення
two,два
type,тип
under,під
understand,розуміти
unit,одиниця
until,до
up,вгору
upon,на
us,нас
use,використовувати
used,використаний
useful,корисний
user,користувач
usually,зазвичай
value,цінність
various,різні
very,дуже
victim,жертва
view,вид
violence,насильство
visit,відвідувати
voice,голос
vote,голос
wait,чекати
walk,ходити
wall,стіна
want,хотіти
war,війна
watch,дивитися
water,вода
way,шлях
we,ми
weapon,зброя
wear,носити
week,тиждень
weight,вага
well,добре
west,захід
western,західний
what,що
whatever,що завгодно
when,коли
where,де
whether,чи
which,який
while,поки
white,білий
who,хто
whole,цілий
whom,кому
whose,чий
why,чому
wide,широкий
wife,дружина
will,буде
win,перемагати
wind,вітер
window,вікно
wish,бажання
with,з
within,всередині
without,без
woman,жінка
wonder,дивуватися
word,слово
work,робота
worker,робітник
working,працюючий
world,світ
worry,турбуватися
worse,гірше
worst,найгірший
worth,вартий
would,би
write,писати
writer,письменник
wrong,неправильний
yard,двір
yeah,так
year,рік
yes,так
yet,ще
you,ти
young,молодий
your,твій
yourself,сам
abandon,покидати
abandoning,покидання
ability,здатність
able,здатний
abroad,за кордоном
absence,відсутність
absent,відсутній
absolute,абсолютний
absolutely,абсолютно
absorb,поглинати
absorbing,поглинання
abstract,абстрактний
abuse,зловживання
abusing,зловживання
academic,академічний
academy,академія
accepting,прийняття
acceptable,прийнятний
acceptance,прийняття
access,доступ
accessing,доступ
accident,нещасний випадок
accompany,супроводжувати
accompanying,супроводження
accomplish,досягати
accomplishing,досягнення
according,згідно
accounting,бухгалтерія
accurate,точний
accuse,звинувачувати
accusing,звинувачення
achieve,досягати
achieving,досягнення
achievement,досягнення
acid,кислота
acknowledge,визнавати
acknowledging,визнання
acquire,набувати
acquiring,набуття
acquisition,здобуття
act,діяти
acting,діяння
active,активний
actor,актор
actress,актриса
actual,дійсний
adapt,пристосовуватися
adapting,пристосування
adding,додавання
addition,додавання
additional,додатковий
addressing,звернення
adequate,адекватний
adjust,налаштовувати
adjusting,налаштування
administrative,адміністративний
administrator,адміністратор
admire,захоплюватися
admiring,захоплення
admission,вступ
admitting,визнання
adopt,усиновлювати
adopting,усиновлення
advance,просуватися
advancing,просування
advanced,просунутий
advantage,перевага
adventure,пригода
advertising,реклама
advice,порада
advise,радити
advising,консультування
advisor,радник
advocate,захисник
advocating,адвокація
affair,справа
affecting,вплив
afford,дозволяти собі
affording,забезпечення
afraid,наляканий
Africa,Африка
African,африканський
afternoon,день
afterwards,потім
age,вік
aged,літній
agenda,порядок денний
aggressive,агресивний
agreeing,згода
agriculture,сільське господарство
aid,допомога
aiding,надання допомоги
aim,ціль
aiming,прицілювання
aircraft,літак
airline,авіакомпанія
airport,аеропорт
alarm,тривога
alarming,тривожний
album,альбом
alcohol,алкоголь
alert,пильний
alerting,попередження
alien,іноземець
alive,живий
alliance,альянс
allowing,дозвіл
ally,союзник
alongside,поряд
alter,змінювати
altering,зміна
alternative,альтернатива
altogether,взагалі
amazing,дивовижний
ambition,амбіція
ambiguity,двозначність
ambulance,швидка допомога
American,американський
analyst,аналітик
analyze,аналізувати
analyzing,аналіз
ancestor,предок
ancient,стародавній
anger,гнів
angle,кут
angry,сердитий
anniversary,річниця
announce,оголошувати
announcing,оголошення
annoying,дратує
annual,річний
answering,відповідь
anticipate,очікувати
anticipating,очікування
anxiety,тривога
anxious,стурбований
anybody,хто-небудь
anymore,більше не
anyway,все одно
anywhere,будь-де
apart,окремо
apartment,квартира
apparent,очевидний
apparently,мабуть
appeal,звернення
appealing,привабливий
appearing,з'явлення
appearance,зовнішність
apple,яблуко
application,застосунок
applying,застосування
appoint,призначати
appointing,призначення
appointment,призначення
appreciate,цінувати
appreciating,оцінка
approaching,наближення
appropriate,відповідний
approval,схвалення
approve,схвалювати
approving,схвалення
approximately,приблизно
architect,архітектор
architecture,архітектура
arguing,сперечання
argument,аргумент
arise,виникати
arising,виникнення
armed,озброєний
army,армія
arrange,організовувати
arranging,організація
arrangement,домовленість
arrest,арешт
arresting,арешт
arrival,прибуття
arriving,прибуття
artistic,художній
as,як
ash,попіл
Asian,азіатський
aside,убік
asking,запитування
asleep,сплячий
aspect,аспект
assault,напад
assaulting,напад
assembly,збори
assess,оцінювати
assessing,оцінка
assessment,оцінка
asset,актив
assign,призначати
assigning,призначення
assignment,завдання
assist,допомагати
assisting,допомога
assistance,допомога
assistant,асистент
associate,асоціювати
associating,асоціація
association,асоціація
assuming,припущення
assumption,припущення
assure,запевняти
assuring,запевнення
assurances,запевнення
atmosphere,атмосфера
attach,прикріпляти
attaching,прикріплення
attacking,атака
attempt,спроба
attempting,спроба
attend,відвідувати
attending,відвідування
attendance,відвідуваність
attitude,ставлення
attract,приваблювати
attracting,залучення
attractive,привабливий
attribute,атрибут
auto,авто
automatic,автоматичний
automatically,автоматично
automobile,автомобіль
autumn,осінь
average,середній
avoiding,уникнення
award,нагорода
awarding,нагородження
aware,свідомий
awareness,усвідомлення
awful,жахливий
background,фон
backing,підтримка
backward,назад
bacteria,бактерії
badly,погано
bagging,пакування
balance,баланс
balancing,балансування
ban,заборона
banning,заборона
band,гурт
banking,банківська справа
barely,ледве
bargain,угода
bargaining,торгівля
barrier,бар'єр
basing,базування
baseball,бейсбол
basic,основний
basically,в основному
basis,основа
basket,кошик
basketball,баскетбол
bathroom,ванна кімната
battle,битва
battling,бій
beach,пляж
bean,боб
bear,ведмідь
bearing,підшипник
beating,биття
beauty,краса
becoming,становлення
bedroom,спальня
beer,пиво
beginning,початок
behaving,поведінка
being,істота
belief,віра
believing,віра
bell,дзвін
belong,належати
belonging,належність
below,нижче
belt,пояс
bench,лавка
bend,згинати
bending,згинання
benefiting,вигода
beside,поряд
bet,ставка
betting,ставки
bicycle,велосипед
bid,пропозиція
bidding,торги
bike,велосипед
biking,велосипедна їзда
billing,виставлення рахунків
bind,зв'язувати
binding,зв'язування
binge-watching,перегляд серіалів запоєм
binge drinking,запій
biological,біологічний
biology,біологія
bird,пташка
birth,народження
birthday,день народження
bit,шматочок
bite,кусати
biting,кусання
bitter,гіркий
blade,лезо
blame,звинувачувати
blaming,звинувачення
blanket,ковдра
blind,сліпий
blinding,осліплення
block,блок
blocking,блокування
bleeding,кровотеча
blow,дути
blowing,дуття
boarding,посадка
boat,човен
boating,плавання на човні
bomb,бомба
bombing,бомбардування
bone,кістка
booking,бронювання
boom,бум
booming,бум
boot,чобіт
booting,завантаження
border,кордон
boring,нудний
borrow,позичати
borrowing,позичення
boss,бос
bother,турбувати
bothering,турбування
bottle,пляшка
bottom,дно
boundaries,межі
bowl,миска
boxing,бокс
brain,мозок
brainstorming,мозковий штурм
branch,гілка
branching,розгалуження
brand,бренд
branding,брендинг
brave,хоробрий
bread,хліб
breaking,ломка
breakfast,сніданок
breast,груди
breath,дихання
breathe,дихати
breathing,дихання
brick,цегла
bridge,міст
bridging,з'єднання
brief,короткий
briefing,інструктаж
briefly,коротко
bright,яскравий
brightening,освітлення
brilliant,блискучий
bringing,принесення
British,британський
broad,широкий
broadening,розширення
broken,зламаний
brown,коричневий
brush,щітка
brushing,чищення
budgeting,складання бюджету
bullet,куля
bunch,пучок
burden,тягар
burn,горіти
burning,горіння
burst,вибухати
bursting,вибух
bury,ховати
burying,поховання
bus,автобус
busy,зайнятий
butter,масло
button,кнопка
buying,покупка
buyer,покупець
by,біля
cabinet,кабінет
cable,кабель
cabling,прокладання кабелю
cake,торт
baking,випічка
calculate,обчислювати
calculating,обчислення
calling,дзвінок
calm,спокійний
calming,заспокоєння
camp,табір
camping,кемпінг
campaigning,агітація
campus,кампус
Canadian,канадський
candle,свічка
candy,цукерка
cap,кепка
capability,здатність
capable,здатний
capacity,ємність
captain,капітан
capture,захоплювати
capturing,захоплення
caring,турбота
careful,обережний
carefully,обережно
carrot,морква
carrying,несіння
cash,готівка
cast,кидати
casting,кастинг
cat,кіт
catching,ловля
category,категорія
causing,спричинення
ceiling,стеля
celebrate,святкувати
celebrating,святкування
celebration,святкування
celebrity,знаменитість
centering,центрування
ceremony,церемонія
chain,ланцюг
chaining,зчеплення
chairman,голова
challenging,виклик
champion,чемпіон
championship,чемпіонат
changing,зміна
channel,канал
channeling,спрямування
chapter,розділ
characteristic,характеристика
characterize,характеризувати
characterizing,характеристика
charging,зарядка
charity,благодійність
chart,діаграма
charting,картографування
chase,переслідувати
chasing,переслідування
cheap,дешевий
checking,перевірка
cheek,щока
cheese,сир
chemical,хімічний
chemistry,хімія
chest,груди
chicken,курка
chief,головний
childhood,дитинство
Chinese,китайський
chocolate,шоколад
choosing,вибір
Christmas,Різдво
cigarette,сигарета
circle,коло
circling,кружляння
circumstance,обставина
civilian,цивільний
claiming,стверджуючи
classic,класичний
classroom,класна кімната
clean,чистий
cleaning,прибирання
clearing,очищення
client,клієнт
climate,клімат
climb,піднімати
climbing,лазіння
clock,годинник
closing,закриття
closely,тісно
closer,ближче
clothes,одяг
clothing,одяг
cloud,хмара
clouding,затуманення
club,клуб
clue,підказка
coaching,коучинг
coal,вугілля
coast,узбережжя
coat,пальто
coating,покриття
code,код
coding,кодування
coffee,кава
coin,монета
collapse,обвал
collapsing,обвал
colleague,колега
collect,збирати
collecting,збір
collective,колективний
coloring,забарвлення
column,колонка
combination,комбінація
combine,поєднувати
combining,поєднання
coming,прихід
comedy,комедія
comfort,комфорт
comforting,заспокійливий
comfortable,зручний
command,команда
commanding,командування
comment,коментар
commenting,коментування
commission,комісія
commissioning,введення в експлуатацію
commit,здійснювати
committing,здійснення
commitment,зобов'язання
committee,комітет
communicate,спілкуватися
communicating,спілкування
communication,спілкування
comparing,порівняння
comparison,порівняння
compete,змагатися
competing,конкуренція
competition,конкуренція
competitive,конкурентний
competitor,конкурент
complain,скаржитися
complaining,скарження
complaint,скарга
complete,повний
completing,завершення
completely,повністю
complex,складний
complicated,складний
component,компонент
compose,складати
composing,складання
composition,композиція
computing,обчислення
concentrate,концентруватися
concentrating,концентрація
concentration,концентрація
concept,концепція
concerning,щодо
concerned,стурбований
concert,концерт
conclude,робити висновок
concluding,завершення
conclusion,висновок
concrete,бетон
conditioning,кондиціонування
conduct,проводити
conducting,проведення
confidence,впевненість
confident,впевнений
confirm,підтверджувати
confirming,підтвердження
conflict,конфлікт
conflicting,конфліктний
confront,протистояти
confronting,протистояння
confusion,плутанина
confusing,заплутаний
connect,з'єднувати
connecting,з'єднання
connection,з'єднання
conscious,свідомий
consciousness,свідомість
consequence,наслідок
consequences,наслідки
conservative,консервативний
considering,розгляд
considerable,значний
consideration,розгляд
consist,складатися
consisting,складання
consistent,послідовний
constant,постійний
constantly,постійно
constitute,складати
constituting,складання
constitution,конституція
construct,будувати
constructing,будівництво
construction,будівництво
consultant,консультант
consulting,консультування
consume,споживати
consuming,споживання
contact,контакт
contacting,контакт
containing,утримання
container,контейнер
contemporary,сучасний
content,зміст
contest,конкурс
contesting,змагання
context,контекст
continuing,продовження
continuous,безперервний
contract,контракт
contracting,підряд
contrast,контраст
contrasting,контрастування
contribute,сприяти
contributing,внесок
contribution,внесок
controlling,контроль
controversial,суперечливий
controversy,суперечка
convenient,зручний
convenience,зручність
convention,конвенція
conventional,традиційний
conversation,розмова
convert,перетворювати
converting,перетворення
cook,готувати
cooking,приготування їжі
cookie,печиво
cool,прохолодний
cooling,охолодження
cooperation,співпраця
cooperating,співпраця
cope,справлятися
coping,справляння
copy,копія
copying,копіювання
core,ядро
corn,кукурудза
corner,кут
cornering,загнання в кут
corporate,корпоративний
corporation,корпорація
correct,правильний
correcting,виправлення
correspondent,кореспондент
costing,калькуляція
cotton,бавовна
couch,диван
council,рада
count,рахувати
counting,підрахунок
counter,лічильник
countering,протидія
county,округ
coup,переворот
coupling,зчеплення
courage,мужність
cousin,двоюрідний брат
covering,покриття
coverage,покриття
cow,корова
crack,тріщина
cracking,тріскання
craft,ремесло
crafting,ремесло
crash,аварія
crashing,аварія
crazy,божевільний
cream,крем
creating,створення
creation,створення
creative,творчий
creature,створіння
credit,кредит
crediting,зарахування
crew,екіпаж
criminal,злочинець
crisis,криза
criteria,критерії
critic,критик
critical,критичний
criticism,критика
criticize,критикувати
criticizing,критика
crop,урожай
cropping,обрізка
cross,хрест
crossing,перехрещення
crowd,натовп
crowding,скупчення
crucial,вирішальний
cry,плакати
crying,плач
curious,цікавий
currently,наразі
curriculum,навчальна програма
curve,крива
curving,вигинання
custom,звичай
cutting,різання
cycle,цикл
cycling,велосипедна їзда
dad,тато
daily,щоденний
damage,шкода
damaging,шкода
dance,танцювати
dancing,танці
danger,небезпека
dangerous,небезпечний
dare,наважуватися
daring,зухвалий
darkness,темрява
database,база даних
dating,знайомства
dealing,справлятися
dealer,дилер
dear,дорогий
debating,дебати
debt,борг
deciding,прийняття рішення
deck,палуба
declare,оголошувати
declaring,оголошення
decline,занепад
declining,занепад
decorate,прикрашати
decorating,прикрашання
decrease,зменшувати
decreasing,зменшення
deepening,поглиблення
deeply,глибоко
deer,олень
defeat,поразка
defeating,поразка
defend,захищати
defending,захист
deficit,дефіцит
define,визначати
defining,визначення
definitely,точно
definition,визначення
deliberate,навмисне
deliver,доставляти
delivering,доставка
delivery,доставка
demand,попит
demanding,вимагливий
democracy,демократія
demonstrate,демонструвати
demonstrating,демонстрація
denial,заперечення
department,відділ
depend,залежати
depending,залежність
dependent,залежний
depth,глибина
describing,опис
description,опис
desert,пустеля
designing,дизайн
designer,дизайнер
desire,бажання
desiring,бажання
desk,стіл
desperate,відчайдушний
destroy,знищувати
destroying,знищення
destruction,знищення
detailing,деталізація
detect,виявляти
detecting,виявлення
determining,визначення
detract,take away from
developing,що розвивається
device,пристрій
devote,присвячувати
devoting,присвячення
dialogue,діалог
diamond,діамант
diary,щоденник
dying,вмирання
diet,дієта
dieting,дієта
differently,по-різному
difficulty,труднощі
dig,копати
digging,копання
digital,цифровий
dimension,вимір
dining,їжа
direct,прямий
directing,режисура
directly,безпосередньо
dirt,бруд
dirty,брудний
disability,інвалідність
disagree,не погоджуватися
disagreeing,незгода
disappear,зникати
disappearing,зникнення
disaster,катастрофа
discipline,дисципліна
disciplining,дисциплінування
discourse,дискурс
discovering,відкриття
discovery,відкриття
discrimination,дискримінація
discriminating,дискримінація
discussing,обговорення
dismiss,звільняти
dismissing,звільнення
disorder,розлад
display,дисплей
displaying,відображення
distance,відстань
distancing,дистанціювання
distinct,чіткий
distinction,розрізнення
distribute,розподіляти
distributing,розподіл
distribution,розподіл
district,район
diverse,різноманітний
diversity,різноманітність
divide,ділити
dividing,поділ
division,поділ
divorce,розлучення
divorcing,розлучення
doing,роблення
document,документ
documenting,документування
domestic,домашній
dominant,домінуючий
dominate,домінувати
dominating,домінування
double,подвійний
doubling,подвоєння
doubt,сумнів
doubting,сумніви
downloading,завантаження
downtown,центр міста
dozen,дюжина
draft,проект
drafting,складання проекту
drag,тягти
dragging,тягнення
drama,драма
dramatic,драматичний
drawing,малюнок
dreaming,мрія
dress,плаття
dressing,одягання
drink,пити
drinking,пиття
driving,водіння
driver,водій
dropping,падіння
dry,сухий
drying,сушіння
due,належний
dust,пил
dusting,вытирання пилу
duty,обов'язок
eager,нетерплячий
ear,вухо
earn,заробляти
earning,заробіток
earth,земля
ease,легкість
easing,полегшення
easily,легко
eastern,східний
eating,їжа
economics,економіка
economist,економіст
edging,обрамлення
edition,видання
editor,редактор
editing,редагування
educational,освітній
educator,вихователь
educating,освіта
effective,ефективний
effectively,ефективно
efficiency,ефективність
efficient,ефективний
egg,яйце
eighteen,вісімнадцять
eighth,восьмий
eighty,вісімдесят
elderly,літній
elect,обирати
electing,вибори
electric,електричний
electrical,електричний
electricity,електрика
electronic,електронний
element,елемент
elementary,елементарний
elephant,слон
eliminate,усувати
eliminating,усунення
elite,еліта
elsewhere,деінде
email,електронна пошта
emailing,електронна пошта
embarrass,бентежити
embarrassing,бентеження
emerge,з'являтися
emerging,з'являтися
emergency,надзвичайна ситуація
emission,викид
